rank,Hospital,patient_count,total_billing,avg_billing
13308,Dorsey-Parker,1,36812.05,36812.05
13309,Johnson-Barrett,2,36811.99,18406.0
13310,Martinez-James,1,36811.66,36811.66
13311,"Hernandez And Parker Davidson,",1,36810.38,36810.38
13312,"Anderson Williams, And Mccarthy",1,36810.37,36810.37
13313,"And Salazar Thompson, Gray",1,36810.29,36810.29
13314,Bates Plc,1,36802.86,36802.86
13315,Callahan-Jones,2,36802.63,18401.32
13316,"And Michael, Rogers Smith",1,36801.64,36801.64
13317,Hernandez-Parker,1,36799.3,36799.3
13318,"Walls, And Moore Soto",1,36795.96,36795.96
13319,Group Watkins,1,36791.93,36791.93
13320,Keith-Murphy,1,36791.24,36791.24
13321,Chan-Arias,1,36786.35,36786.35
13322,Sons And Bolton,1,36786.06,36786.06
13323,"Scott, Sanchez And Spencer",1,36779.0,36779.0
13324,"And Evans, Franklin Huffman",1,36778.65,36778.65
13325,Henderson-Aguilar,1,36776.6,36776.6
13326,"Martin Oconnor, And Smith",1,36776.02,36776.02
13327,"Hancock And Copeland, Gonzalez",1,36775.14,36775.14
13328,"Reynolds, And Howard Nelson",1,36770.17,36770.17
13329,Rivera-Newton,1,36769.92,36769.92
13330,"Montes, Medina And Wilson",1,36769.47,36769.47
13331,Gill-Munoz,1,36766.18,36766.18
13332,Day-Smith,1,36765.42,36765.42
13333,"And Zhang Brooks, Hamilton",1,36765.36,36765.36
13334,"Burnett Jones, Kelley And",1,36764.26,36764.26
13335,Jackson-Davis,3,36763.26,12254.42
13336,"Potts, Salas Fletcher And",1,36760.48,36760.48
13337,"Smith Roberts And Williams,",1,36759.92,36759.92
13338,"Gardner And Powers Scott,",1,36755.75,36755.75
13339,Saunders-Thomas,1,36755.29,36755.29
13340,"Jimenez, Le And Vargas",1,36752.43,36752.43
13341,Llc Blankenship,1,36751.23,36751.23
13342,"Vaughn, Lee And Walker",1,36750.76,36750.76
13343,Briggs-Hendricks,1,36749.77,36749.77
13344,"Norman Wilcox And Hughes,",1,36749.64,36749.64
13345,"And Fuller Tucker Martinez,",1,36749.21,36749.21
13346,Group Harrington,1,36748.44,36748.44
13347,Saunders-Downs,1,36746.95,36746.95
13348,Meyers-Wilson,1,36743.02,36743.02
13349,"Saunders And Wilkinson Gregory,",1,36742.02,36742.02
13350,"Kennedy, Richards Kent And",1,36739.96,36739.96
13351,Sweeney-Rojas,1,36737.06,36737.06
13352,Hall-Small,1,36735.6,36735.6
13353,Hayes-Taylor,1,36734.64,36734.64
13354,Page Llc,1,36734.63,36734.63
13355,Mendez-Davis,1,36733.79,36733.79
13356,Jones-Mitchell,1,36729.06,36729.06
13357,Dominguez-Bush,1,36728.98,36728.98
13358,Sanchez-Wilson,2,36728.87,18364.43
13359,Ferguson-Thompson,1,36727.91,36727.91
13360,Oconnor-King,1,36726.01,36726.01
13361,"Gonzales, Davis Anderson And",1,36716.23,36716.23
13362,James-Mcintyre,1,36715.05,36715.05
13363,Lin-Harris,1,36713.93,36713.93
13364,Avery-Reed,1,36713.57,36713.57
13365,"Davis Bradley And Perkins,",1,36711.67,36711.67
13366,"Christensen Hardy Parker, And",1,36706.49,36706.49
13367,Plc Freeman,2,36701.85,18350.92
13368,Blair-Clayton,1,36699.21,36699.21
13369,"And Andersen Miller Jones,",1,36698.95,36698.95
13370,Group Robles,1,36698.51,36698.51
13371,Stephens-Sanders,1,36697.71,36697.71
13372,"Rivers Reeves, And Newton",1,36697.13,36697.13
13373,Cohen-Holmes,1,36696.39,36696.39
13374,"Wells Roberts, And Lee",1,36691.78,36691.78
13375,"Palmer Phillips, Sampson And",1,36690.61,36690.61
13376,Adams-Dominguez,1,36690.07,36690.07
13377,Roach-Reynolds,1,36689.94,36689.94
13378,Gray-Rose,1,36688.05,36688.05
13379,Plc Campos,1,36688.01,36688.01
13380,"Grant Jackson Jenkins, And",1,36686.87,36686.87
13381,And Sons Phelps,1,36683.92,36683.92
13382,"And Morgan, Scott Martinez",1,36681.95,36681.95
13383,"Kane, Bullock Bullock And",1,36681.61,36681.61
13384,Jones-Woodard,1,36680.89,36680.89
13385,"And Shepard Ramos, Saunders",1,36680.23,36680.23
13386,"Ramirez And Stone, Thomas",1,36679.84,36679.84
13387,"Macias, Nelson Lewis And",1,36679.19,36679.19
13388,"Kramer Bean, And Lopez",1,36677.88,36677.88
13389,"Stewart Simpson, Wolfe And",1,36677.82,36677.82
13390,"Jimenez, And Miller Perry",1,36677.2,36677.2
13391,Mcclain-Huang,1,36676.78,36676.78
13392,"And Miller, Wallace Lucas",1,36676.45,36676.45
13393,"Khan, Phillips Baker And",1,36675.46,36675.46
13394,Porter-Sandoval,1,36674.33,36674.33
13395,"Rodriguez, And Dawson Jimenez",1,36674.12,36674.12
13396,Wolfe-Goodman,1,36673.99,36673.99
13397,"Snyder, And Kim Howard",1,36673.71,36673.71
13398,"And Ochoa Collins Hawkins,",1,36672.38,36672.38
13399,"Martin, And Robinson Graham",1,36671.4,36671.4
13400,Miller-Browning,1,36671.12,36671.12
13401,"And Franco, Herrera Meza",1,36669.4,36669.4
13402,Freeman-Moore,1,36669.35,36669.35
13403,"Fisher, Vance Obrien And",1,36667.61,36667.61
13404,Wilkins-Jacobs,1,36667.05,36667.05
13405,Guzman-White,1,36665.86,36665.86
13406,"Perez And Morrison Daniels,",1,36665.41,36665.41
13407,Group Haynes,1,36663.16,36663.16
13408,Simpson Llc,1,36661.69,36661.69
13409,"Bowers, Marshall Russell And",1,36660.79,36660.79
13410,Ltd Arroyo,1,36658.93,36658.93
13411,Silva-Hanson,1,36656.54,36656.54
13412,"Smith And Cox Middleton,",1,36655.89,36655.89
13413,And Sons Barnes,1,36655.18,36655.18
13414,Bender Ltd,1,36654.22,36654.22
13415,Ramirez-Thomas,1,36652.98,36652.98
13416,"Walters Barton, Williams And",1,36652.61,36652.61
13417,Austin-Thompson,1,36651.95,36651.95
13418,"Booth Choi, Alexander And",1,36651.49,36651.49
13419,"Doyle Anderson, And Shelton",1,36649.64,36649.64
13420,"Vang Schneider And Torres,",1,36649.32,36649.32
13421,Petersen-Daniel,1,36646.28,36646.28
13422,Torres Sons And,1,36646.27,36646.27
13423,"Williams Shannon And Gomez,",1,36646.03,36646.03
13424,Davidson-Arnold,1,36645.87,36645.87
13425,"Gonzalez Garcia Jones, And",1,36644.85,36644.85
13426,"Ward Flores, And Dixon",1,36644.19,36644.19
13427,Smith-Bowen,1,36642.28,36642.28
13428,Hall-Wallace,1,36641.6,36641.6
13429,"Austin, Morgan And Ellis",1,36639.98,36639.98
13430,"Johnson And Rogers, Rose",1,36639.55,36639.55
13431,Thomas-Watts,1,36639.45,36639.45
13432,Potter-Campos,1,36637.66,36637.66
13433,"And White, Wood Wagner",1,36636.72,36636.72
13434,Mcintyre-Anderson,1,36635.77,36635.77
13435,"Terry And Diaz Ward,",1,36633.81,36633.81
13436,White-Jackson,2,36633.49,18316.75
13437,Schultz-Larsen,1,36632.52,36632.52
13438,Solomon Plc,1,36632.32,36632.32
13439,"And Shaw, Edwards Duffy",1,36631.02,36631.02
13440,"And Flowers Smith, Smith",1,36628.15,36628.15
13441,Flores-Roman,2,36625.34,18312.67
13442,"And Parker, Osborne Myers",1,36625.23,36625.23
13443,Flores-Riley,1,36623.62,36623.62
13444,"Moore And Frank Wolfe,",1,36621.9,36621.9
13445,Welch-Brooks,1,36621.68,36621.68
13446,"Lambert, Cooper Smith And",1,36621.26,36621.26
13447,Webster-Patterson,1,36620.74,36620.74
13448,"Bates, Moody And Walsh",1,36619.13,36619.13
13449,"Morrison, And Andrews Foley",1,36618.41,36618.41
13450,Becker Inc,1,36617.22,36617.22
13451,Kirk Llc,1,36617.05,36617.05
13452,"And Bishop Ellison, Rivera",1,36616.17,36616.17
13453,"Welch, Nielsen And Taylor",1,36614.01,36614.01
13454,Newton-Lawrence,1,36613.26,36613.26
13455,Dawson-Reyes,1,36609.13,36609.13
13456,"And Stout, Harrison Peterson",1,36608.29,36608.29
13457,Hart-Scott,1,36602.81,36602.81
13458,Dominguez-Rodriguez,1,36602.56,36602.56
13459,Morrison-Arnold,1,36602.16,36602.16
13460,"Price Duarte And Ferguson,",1,36600.14,36600.14
13461,"King And Grant Hines,",1,36598.98,36598.98
13462,Llc Mccormick,2,36598.36,18299.18
13463,"Huynh, Edwards Robinson And",1,36595.31,36595.31
13464,Galvan-Garcia,1,36594.17,36594.17
13465,Sampson-Ellis,1,36592.01,36592.01
13466,"Martinez And Hughes Malone,",1,36588.69,36588.69
13467,Peterson-Hoffman,1,36587.64,36587.64
13468,Schaefer-Smith,1,36587.4,36587.4
13469,Hicks-Williamson,1,36585.79,36585.79
13470,"Smith Neal, And Ramirez",1,36585.77,36585.77
13471,"Sims Taylor, Soto And",1,36584.67,36584.67
13472,"Brown Byrd Stevens, And",1,36582.63,36582.63
13473,Hernandez-Schroeder,2,36582.51,18291.26
13474,Smith-Hart,1,36580.24,36580.24
13475,"Weber Cunningham, Leblanc And",1,36578.3,36578.3
13476,"Knight Mcbride, And Palmer",1,36578.19,36578.19
13477,Inc Greene,1,36577.34,36577.34
13478,Lewis-Russell,1,36577.3,36577.3
13479,Smith-Watson,1,36574.81,36574.81
13480,Martinez-Munoz,1,36574.75,36574.75
13481,Melton-Evans,1,36572.3,36572.3
13482,Bentley Ltd,1,36572.08,36572.08
13483,"Burton And Miles Welch,",1,36571.33,36571.33
13484,"Sanchez, Woods Hall And",1,36569.12,36569.12
13485,Hunt-Rodriguez,1,36568.08,36568.08
13486,"And Castillo, Gibson Smith",1,36565.06,36565.06
13487,"Todd Love, Foster And",1,36562.79,36562.79
13488,"Moore, And Mahoney Martin",1,36561.98,36561.98
13489,"Dominguez Johnson, And Gonzalez",1,36561.97,36561.97
13490,"Cohen Patterson, Avila And",1,36561.92,36561.92
13491,Martin-Perkins,1,36561.54,36561.54
13492,"Wall, Johnson And Diaz",1,36559.68,36559.68
13493,Snyder-Johnson,1,36559.41,36559.41
13494,"And Weiss Hill, Kennedy",1,36559.08,36559.08
13495,"And Cross, Horne Medina",1,36556.67,36556.67
13496,Clark-Wood,1,36556.47,36556.47
13497,And Conley Sons,1,36555.47,36555.47
13498,Lopez-Lopez,1,36553.76,36553.76
13499,Rodriguez-Edwards,1,36553.01,36553.01
13500,Gomez-Ellis,1,36552.31,36552.31
13501,"Smith Miller And Patton,",1,36551.59,36551.59
13502,"Bass Weeks, Howard And",1,36551.12,36551.12
13503,"And Garcia Wade Richardson,",1,36551.05,36551.05
13504,Stewart-Munoz,1,36550.02,36550.02
13505,Klein-Odom,1,36549.79,36549.79
13506,Palmer-Valencia,1,36549.63,36549.63
13507,Potter-Jones,1,36549.62,36549.62
13508,Llc Erickson,1,36547.92,36547.92
13509,Taylor-Moore,1,36547.41,36547.41
13510,Cooper-Stewart,1,36546.02,36546.02
13511,"Haynes Miller, And Gray",1,36541.89,36541.89
13512,Rodriguez-Quinn,1,36540.33,36540.33
13513,"And Elliott, Rice Black",1,36538.28,36538.28
13514,"And Castillo, Mayer Reyes",1,36535.7,36535.7
13515,Ferguson-Johnson,2,36527.48,18263.74
13516,Gonzalez-Chandler,1,36525.85,36525.85
13517,Vega-Gross,1,36525.26,36525.26
13518,Fields-Weber,1,36525.11,36525.11
13519,Diaz-Miller,1,36524.08,36524.08
13520,"And Arellano, Gill Jackson",1,36523.16,36523.16
13521,Calhoun-Burns,1,36522.89,36522.89
13522,Castro-Allen,1,36522.58,36522.58
13523,Carroll-Davis,1,36516.68,36516.68
13524,"Scott Kim And Lee,",1,36516.16,36516.16
13525,Marquez-Mendoza,1,36516.08,36516.08
13526,Cohen-Gillespie,1,36515.52,36515.52
13527,Dominguez-Bell,1,36515.31,36515.31
13528,Ruiz-Rivera,1,36514.54,36514.54
13529,Clark-Costa,1,36514.43,36514.43
13530,"Marshall Evans And Andrews,",1,36514.26,36514.26
13531,Watts Plc,1,36511.88,36511.88
13532,Sons And Huber,1,36507.88,36507.88
13533,Rodriguez-Reynolds,1,36504.75,36504.75
13534,"Mack Salazar Anderson, And",1,36504.61,36504.61
13535,Hess Group,1,36500.95,36500.95
13536,Inc Leonard,2,36499.75,18249.88
13537,Nelson-Clark,1,36497.87,36497.87
13538,Young-Raymond,1,36496.08,36496.08
13539,Brandt Ltd,1,36495.58,36495.58
13540,"Peters, And Shelton Cox",1,36490.27,36490.27
13541,"Schmidt Wright And Dawson,",1,36488.69,36488.69
13542,Patrick-Vaughn,1,36487.95,36487.95
13543,"And Garrison Hahn, Meadows",1,36484.07,36484.07
13544,Chambers-Williams,1,36481.08,36481.08
13545,Allen-Torres,1,36480.59,36480.59
13546,"Gomez Williams And Morales,",1,36480.17,36480.17
13547,"Mills Peterson And Jones,",1,36477.55,36477.55
13548,And Manning Sons,1,36476.31,36476.31
13549,Hudson-Rodriguez,1,36476.21,36476.21
13550,Macdonald Inc,1,36473.52,36473.52
13551,"Davies Lopez And Fritz,",1,36472.97,36472.97
13552,Wright-Moore,1,36469.58,36469.58
13553,Crawford-Sanchez,1,36468.66,36468.66
13554,Walters-Chen,1,36465.59,36465.59
13555,Pearson-Patton,1,36464.68,36464.68
13556,Robinson-Hodge,1,36464.41,36464.41
13557,"Torres Williams Colon, And",1,36462.89,36462.89
13558,"Avery, Doyle Wells And",1,36461.51,36461.51
13559,"And Ford Cole Barker,",1,36460.78,36460.78
13560,"Farley, And Blanchard Hancock",1,36459.81,36459.81
13561,Ltd Moran,1,36458.48,36458.48
13562,Lopez-Savage,1,36458.3,36458.3
13563,"Avila, Wood Floyd And",1,36456.47,36456.47
13564,Frank Inc,1,36453.88,36453.88
13565,"Price And Norman Miller,",1,36453.06,36453.06
13566,Powell-West,1,36452.43,36452.43
13567,Hamilton-Griffin,1,36451.41,36451.41
13568,Le-Watson,1,36451.23,36451.23
13569,"Shannon, Kelly And Delgado",1,36450.44,36450.44
13570,"Beasley Martin, King And",1,36448.54,36448.54
13571,"Peters Rowland, Gibson And",1,36446.83,36446.83
13572,Delgado Group,1,36446.48,36446.48
13573,Campbell-Ellis,1,36445.2,36445.2
13574,Mayer-Johnson,1,36444.88,36444.88
13575,"And Vazquez, Burns Smith",1,36443.23,36443.23
13576,Garcia-Yu,1,36441.67,36441.67
13577,"Smith, Smith Gardner And",1,36440.99,36440.99
13578,"Mason, And Williams Estrada",1,36436.01,36436.01
13579,Ramirez-Thompson,2,36430.74,18215.37
13580,"Harrison And Lindsey Gonzales,",1,36430.7,36430.7
13581,Weaver-Bishop,1,36429.86,36429.86
13582,"And Bennett Lee, Moody",1,36428.88,36428.88
13583,Willis Group,2,36424.12,18212.06
13584,And Sons Gray,2,36424.01,18212.0
13585,Rosario-Johnson,1,36421.37,36421.37
13586,"Rodriguez Rodriguez, And Kirby",1,36420.64,36420.64
13587,"Dixon And Thomas, Mendez",1,36420.15,36420.15
13588,And Sons Singh,1,36415.94,36415.94
13589,"And Barnes, Deleon Williams",1,36415.01,36415.01
13590,Mendez-Hughes,1,36414.61,36414.61
13591,Flores-Johns,1,36414.12,36414.12
13592,"And Clark, Frazier Gonzalez",1,36413.43,36413.43
13593,Murphy-Williamson,1,36412.26,36412.26
13594,"Martinez Knight, And Harper",1,36411.8,36411.8
13595,"Miller Tapia Moody, And",1,36409.43,36409.43
13596,Williams-Chung,1,36407.0,36407.0
13597,King-Nunez,1,36406.84,36406.84
13598,"Mcclain And Wallace, Vasquez",1,36406.66,36406.66
13599,"And Henderson Choi Charles,",1,36406.58,36406.58
13600,Plc Murphy,2,36405.37,18202.69
13601,"Espinoza And Valentine Downs,",1,36404.46,36404.46
13602,Brown-Savage,1,36403.52,36403.52
13603,Yates-Wiggins,1,36402.86,36402.86
13604,"Wright And Greene, Arnold",1,36402.61,36402.61
13605,Sons And Riley,1,36401.02,36401.02
13606,"And Schroeder Woods Carter,",1,36398.53,36398.53
13607,Golden-Harvey,1,36396.14,36396.14
13608,Hawkins-Humphrey,1,36395.54,36395.54
13609,Moore-Patton,1,36392.61,36392.61
13610,"Watson Baker And Bailey,",1,36391.78,36391.78
13611,"Cook, Wang Diaz And",1,36390.31,36390.31
13612,Wheeler Sons And,1,36388.91,36388.91
13613,Martin-Carter,1,36384.79,36384.79
13614,Reilly-Hernandez,1,36384.04,36384.04
13615,Wagner-Cain,1,36383.74,36383.74
13616,"Williams, And Pittman Alexander",1,36383.17,36383.17
13617,Green-Morgan,1,36382.6,36382.6
13618,Wong-Sutton,1,36381.31,36381.31
13619,Santos-Mcdaniel,1,36381.04,36381.04
13620,"Hall Becker, Oneill And",1,36380.99,36380.99
13621,"And Martin, Brown Walsh",1,36380.4,36380.4
13622,Alvarez Sons And,1,36378.26,36378.26
13623,Sons Matthews And,1,36377.96,36377.96
13624,"Fuller Brown, Johnson And",1,36371.41,36371.41
13625,Clements-Brown,1,36369.59,36369.59
13626,Group Carpenter,1,36369.09,36369.09
13627,"Jackson Brown Hester, And",1,36362.05,36362.05
13628,Faulkner Group,1,36361.38,36361.38
13629,"Bean, And Wilson Holmes",1,36361.07,36361.07
13630,"Smith Lynch And Hart,",1,36358.05,36358.05
13631,"House, And Coffey Davis",1,36352.72,36352.72
13632,"And Bautista Webb, Wilson",1,36352.47,36352.47
13633,"And Ruiz, Banks Bates",1,36350.14,36350.14
13634,"And Peck, Bell Peters",1,36349.71,36349.71
13635,"Schmidt And Mason Taylor,",1,36349.43,36349.43
13636,Johnson-Thomas,1,36349.15,36349.15
13637,Green-Jones,1,36346.49,36346.49
13638,"Ellis Wilkerson Perez, And",1,36346.15,36346.15
13639,"Alvarez And James, Mcintosh",1,36345.63,36345.63
13640,Petty-Medina,1,36344.18,36344.18
13641,Ltd Stephens,2,36343.97,18171.98
13642,"Kim, Frank Kramer And",1,36342.71,36342.71
13643,Gutierrez-Lopez,1,36342.33,36342.33
13644,Bowman-Young,1,36340.43,36340.43
13645,"Hunt, Carlson And Cherry",1,36339.82,36339.82
13646,Wallace-Henry,2,36339.04,18169.52
13647,"Haley Orozco, Mcpherson And",1,36338.95,36338.95
13648,"Campbell, King And Powell",1,36337.98,36337.98
13649,Booker Group,1,36337.76,36337.76
13650,Mcconnell-Sellers,1,36337.64,36337.64
13651,Plc Vance,1,36337.36,36337.36
13652,Soto-Lozano,1,36337.17,36337.17
13653,"Fritz Gonzalez, Rodgers And",1,36334.23,36334.23
13654,Sweeney Llc,1,36334.02,36334.02
13655,Garcia-Leach,1,36333.75,36333.75
13656,Smith-Weiss,1,36332.99,36332.99
13657,"And Martin Abbott Jackson,",1,36330.03,36330.03
13658,Fisher-Aguilar,1,36329.13,36329.13
13659,"Barnes Rodriguez, And Stephens",1,36329.07,36329.07
13660,Russell-Torres,1,36327.52,36327.52
13661,Bender-Johnson,1,36326.83,36326.83
13662,Inc Daugherty,1,36324.52,36324.52
13663,"Warren Jenkins And Jones,",1,36324.42,36324.42
13664,Chavez-Randolph,1,36323.6,36323.6
13665,Sons Nelson And,1,36320.9,36320.9
13666,Friedman-Walker,1,36319.38,36319.38
13667,"Le Meyers, Smith And",1,36317.97,36317.97
13668,Watkins-Bradford,1,36315.99,36315.99
13669,"Greene Davis, And Patterson",1,36315.74,36315.74
13670,"And Blake, Pham Daniel",1,36315.26,36315.26
13671,"Parks Zimmerman Miller, And",1,36315.23,36315.23
13672,Lowe-Mills,1,36313.89,36313.89
13673,Johnson-Buchanan,1,36313.56,36313.56
13674,Knight-Ball,1,36311.9,36311.9
13675,"Gray Tran, And Nelson",1,36307.59,36307.59
13676,Plc Hoffman,1,36307.54,36307.54
13677,"Shannon, Fox Hughes And",1,36307.35,36307.35
13678,Moore-Evans,1,36306.97,36306.97
13679,Moore-Sanchez,1,36306.77,36306.77
13680,Davidson-Wade,1,36306.65,36306.65
13681,"And Rivera Coleman, Friedman",1,36305.63,36305.63
13682,Sanchez-Hahn,1,36305.32,36305.32
13683,"Velez, Rodgers Walsh And",1,36303.46,36303.46
13684,Bryant-Bautista,1,36303.2,36303.2
13685,"And Peterson Christian Clark,",1,36296.71,36296.71
13686,Rivera-Mendoza,1,36296.07,36296.07
13687,"Delgado And Mendoza Munoz,",1,36291.92,36291.92
13688,Patterson-Webb,1,36291.51,36291.51
13689,"Ross, Kelly And Horne",1,36290.26,36290.26
13690,Stewart-Yu,1,36288.56,36288.56
13691,Ramirez-Cook,1,36287.67,36287.67
13692,Rogers-Robles,1,36287.39,36287.39
13693,Ltd Schmidt,1,36287.01,36287.01
13694,Herman-Howell,1,36285.74,36285.74
13695,Gutierrez-Frost,1,36283.86,36283.86
13696,"Meza, Smith And Gardner",1,36283.7,36283.7
13697,"Forbes, Patel Garza And",1,36283.55,36283.55
13698,Jackson-Kelley,1,36283.47,36283.47
13699,Jackson-Williamson,1,36282.07,36282.07
13700,"Mccarty And Franklin Miller,",1,36281.52,36281.52
13701,"Lee, Wu Mercado And",1,36281.52,36281.52
13702,Love-Rasmussen,1,36281.28,36281.28
13703,Webb-Byrd,1,36280.01,36280.01
13704,Pacheco-Sanchez,1,36279.91,36279.91
13705,Farrell-Harper,1,36277.36,36277.36
13706,"Miller Hudson, Taylor And",1,36277.22,36277.22
13707,Jones-Kerr,1,36276.76,36276.76
13708,Diaz-Koch,1,36274.38,36274.38
13709,"James, Peterson Jackson And",1,36273.7,36273.7
13710,Barrett-Wright,1,36272.75,36272.75
13711,"Chavez, And Pacheco Stephens",1,36269.81,36269.81
13712,Parks-Delgado,1,36269.78,36269.78
13713,"Walters, Anderson West And",1,36269.22,36269.22
13714,Morris-Dixon,1,36267.91,36267.91
13715,Woods-Singh,1,36265.89,36265.89
13716,Jones-Phelps,1,36262.69,36262.69
13717,Lozano-Lewis,1,36262.69,36262.69
13718,"Edwards, Stewart King And",1,36262.34,36262.34
13719,"Lindsey, Frederick And Franco",1,36259.36,36259.36
13720,Hart-Fowler,1,36259.02,36259.02
13721,Allen-Leon,1,36258.22,36258.22
13722,Kennedy-Huber,1,36257.63,36257.63
13723,"Mcneil Miller, Nicholson And",1,36253.99,36253.99
13724,"Roberts Reese Lopez, And",1,36251.55,36251.55
13725,Cardenas Plc,1,36247.24,36247.24
13726,"Wheeler Rocha And Hicks,",1,36246.53,36246.53
13727,Liu-Chambers,1,36243.19,36243.19
13728,Jordan Llc,2,36241.7,18120.85
13729,Powell-Brown,2,36241.57,18120.78
13730,"Lucas, And Hubbard Deleon",1,36241.13,36241.13
13731,"Randolph, Stewart Morrison And",1,36239.44,36239.44
13732,"Jacobson, Williams And Rivera",1,36239.42,36239.42
13733,"And Johnson Hobbs Owens,",1,36238.58,36238.58
13734,"Winters Martin, And Neal",1,36237.6,36237.6
13735,Estrada-Campbell,1,36233.67,36233.67
13736,"Estrada, Macdonald Valdez And",1,36231.74,36231.74
13737,"Doyle Hess, And Dudley",1,36230.39,36230.39
13738,"Johns Potter, And Herrera",1,36229.7,36229.7
13739,Bowers Plc,1,36229.57,36229.57
13740,"And Watts Butler, Bates",1,36228.05,36228.05
13741,Johnson-Fisher,1,36227.93,36227.93
13742,Stevens Group,3,36227.37,12075.79
13743,Cameron-Jackson,1,36225.57,36225.57
13744,"Morris, And Harrison Solomon",1,36223.68,36223.68
13745,"Zuniga, Berry Wilson And",1,36223.32,36223.32
13746,"Mclaughlin And Brown, Haney",1,36218.94,36218.94
13747,Gilbert-Castaneda,1,36216.16,36216.16
13748,Snyder-Robinson,1,36215.35,36215.35
13749,West-Atkinson,1,36213.65,36213.65
13750,Mccarthy-Adams,1,36212.88,36212.88
13751,"And Sutton Gomez, Clark",1,36211.74,36211.74
13752,Gordon-Cooper,1,36210.35,36210.35
13753,"And Duncan Larsen, Jackson",1,36210.13,36210.13
13754,"Davis, Torres And Chase",1,36210.09,36210.09
13755,"Sosa Murphy, And Alexander",1,36201.84,36201.84
13756,Osborn-Manning,1,36201.29,36201.29
13757,Santos-Haley,1,36200.57,36200.57
13758,"Morgan Nguyen, And Bean",1,36199.32,36199.32
13759,Martinez-Nelson,1,36198.8,36198.8
13760,"Bell And Guerrero, Marshall",1,36192.62,36192.62
13761,Deleon-Foley,1,36186.99,36186.99
13762,Pennington-Simon,1,36185.59,36185.59
13763,"Price, Brown Brown And",1,36184.46,36184.46
13764,Ltd Franklin,1,36183.32,36183.32
13765,Davis-Gill,1,36181.38,36181.38
13766,"And Villa Gonzalez, Mueller",1,36181.09,36181.09
13767,"Massey, Lawrence And Mills",1,36180.93,36180.93
13768,"Martin, And Erickson Taylor",1,36177.57,36177.57
13769,"Rogers Gregory, And Grant",1,36177.21,36177.21
13770,Schneider-Green,1,36175.69,36175.69
13771,"Peterson Taylor And Smith,",1,36175.47,36175.47
13772,Bradshaw And Sons,1,36174.02,36174.02
13773,"Chavez Jackson, Diaz And",1,36173.78,36173.78
13774,Wu-Rodriguez,1,36173.41,36173.41
13775,Boyd-Foley,1,36170.87,36170.87
13776,"And Anderson Hartman Flores,",1,36170.79,36170.79
13777,"Smith And Barrett Williams,",1,36170.79,36170.79
13778,"James, Wilson Ferguson And",1,36170.6,36170.6
13779,Solis-Price,1,36170.04,36170.04
13780,"Murillo Thomas And Jones,",1,36169.86,36169.86
13781,"Smith, And Maynard Hill",1,36169.34,36169.34
13782,Lucas-Brown,1,36169.3,36169.3
13783,Mendez-Turner,1,36167.12,36167.12
13784,Wolf-Romero,1,36164.15,36164.15
13785,Keller Ltd,2,36162.36,18081.18
13786,Hernandez-Gaines,1,36162.06,36162.06
13787,Kennedy-Collier,1,36161.6,36161.6
13788,"Baker Bautista And Benitez,",1,36160.11,36160.11
13789,"Burns And Williams Thompson,",1,36157.7,36157.7
13790,Davila-Carpenter,1,36157.28,36157.28
13791,"Avila Washington, Burton And",1,36156.67,36156.67
13792,Wright-Carter,1,36155.11,36155.11
13793,"Mclaughlin, Butler And Macdonald",1,36154.78,36154.78
13794,"Richard, Clark Diaz And",1,36153.79,36153.79
13795,Park-Hanson,1,36153.58,36153.58
13796,"And Olsen Wiggins, Collins",1,36151.59,36151.59
13797,Stewart-Gonzalez,1,36149.64,36149.64
13798,"Reed, Vasquez And Fleming",1,36149.58,36149.58
13799,"Vargas And Wise, James",1,36148.99,36148.99
13800,"Bird, And Jacobson Dorsey",1,36148.54,36148.54
13801,"And Rodriguez, Lucas Frank",1,36147.41,36147.41
13802,Griffin-Flores,2,36146.9,18073.45
13803,Ware-Stevens,1,36146.11,36146.11
13804,Dickerson-Gordon,1,36144.21,36144.21
13805,Inc Gross,1,36143.32,36143.32
13806,Huynh-Hopkins,1,36142.15,36142.15
13807,"And James Schneider Bradley,",1,36141.75,36141.75
13808,"Miller And Reynolds, Paul",1,36139.31,36139.31
13809,Sons And Hunt,1,36137.03,36137.03
13810,Thompson-Hubbard,1,36136.73,36136.73
13811,Cantrell Llc,2,36134.11,18067.06
13812,Morales-Ballard,1,36133.37,36133.37
13813,Fry-Singh,1,36133.34,36133.34
13814,Marshall Ltd,1,36132.85,36132.85
13815,"And Evans, Mccann Thomas",1,36129.84,36129.84
13816,Ltd Whitehead,1,36128.95,36128.95
13817,"Scott, Davis And Andrews",1,36128.25,36128.25
13818,"And Wright Robinson, Fuller",1,36128.15,36128.15
13819,Brown-Patrick,1,36127.29,36127.29
13820,Thompson-Harper,1,36126.91,36126.91
13821,Trujillo Inc,2,36125.41,18062.71
13822,Sons And Wyatt,1,36124.12,36124.12
13823,Hunt-Bradley,1,36123.03,36123.03
13824,Lindsey-Sanchez,1,36122.89,36122.89
13825,Turner-Johnson,1,36121.96,36121.96
13826,Buckley Llc,1,36121.53,36121.53
13827,"Lane Kennedy, And Mccoy",1,36119.93,36119.93
13828,Gregory Group,2,36119.45,18059.72
13829,"Henderson Hobbs, And Martin",1,36118.21,36118.21
13830,"Lewis Clarke Wood, And",1,36117.2,36117.2
